class_id,precision,recall,f1,accuracy,true_positive,false_positive,false_negative
0,0.0,0.0,0.0,1.0,0,0,0
1,1.0,1.0,1.0,1.0,1,0,0
2,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
3,0.0,0.0,0.0,0.9982425307557118,0,2,3
4,0.0,0.0,0.0,0.9996485061511423,0,1,0
5,1.0,1.0,1.0,1.0,1,0,0
6,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
7,1.0,1.0,1.0,1.0,1,0,0
8,1.0,0.6666666666666666,0.8,0.9996485061511423,2,0,1
9,0.0,0.0,0.0,0.9982425307557118,0,3,2
10,0.6666666666666666,1.0,0.8,0.9996485061511423,2,1,0
11,0.0,0.0,0.0,0.9996485061511423,0,0,1
12,0.0,0.0,0.0,0.9992970123022847,0,0,2
13,1.0,1.0,1.0,1.0,1,0,0
14,0.0,0.0,0.0,0.998945518453427,0,1,2
15,0.0,0.0,0.0,0.9996485061511423,0,0,1
16,1.0,1.0,1.0,1.0,2,0,0
17,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
18,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
19,0.0,0.0,0.0,1.0,0,0,0
20,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
21,0.0,0.0,0.0,0.998945518453427,0,2,1
22,0.0,0.0,0.0,0.9992970123022847,0,2,0
23,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
24,0.0,0.0,0.0,0.9996485061511423,0,1,0
25,0.0,0.0,0.0,0.9992970123022847,0,2,0
26,0.0,0.0,0.0,0.9996485061511423,0,0,1
27,0.0,0.0,0.0,0.49701230228471,0,1431,0
28,0.0,0.0,0.0,1.0,0,0,0
29,1.0,1.0,1.0,1.0,1,0,0
30,0.5,0.3333333333333333,0.4,0.998945518453427,1,1,2
31,1.0,1.0,1.0,1.0,1,0,0
32,0.0,0.0,0.0,0.9996485061511423,0,1,0
33,1.0,1.0,1.0,1.0,1,0,0
34,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
35,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
36,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
37,0.0,0.0,0.0,0.9996485061511423,0,1,0
38,1.0,1.0,1.0,1.0,1,0,0
39,0.0,0.0,0.0,0.9992970123022847,0,2,0
40,0.0,0.0,0.0,1.0,0,0,0
41,0.0,0.0,0.0,0.9996485061511423,0,0,1
42,0.0,0.0,0.0,0.998945518453427,0,1,2
43,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
44,0.0,0.0,0.0,1.0,0,0,0
45,0.0,0.0,0.0,1.0,0,0,0
46,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
47,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
48,0.0,0.0,0.0,0.9992970123022847,0,1,1
49,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
50,0.0,0.0,0.0,0.998945518453427,0,2,1
51,1.0,1.0,1.0,1.0,2,0,0
52,0.0,0.0,0.0,1.0,0,0,0
53,1.0,1.0,1.0,1.0,1,0,0
54,0.25,1.0,0.4,0.998945518453427,1,3,0
55,0.0,0.0,0.0,0.9996485061511423,0,0,1
56,0.0,0.0,0.0,0.9992970123022847,0,0,2
57,0.0,0.0,0.0,0.9996485061511423,0,0,1
58,0.0,0.0,0.0,1.0,0,0,0
59,0.6666666666666666,1.0,0.8,0.9996485061511423,2,1,0
60,0.0,0.0,0.0,0.9992970123022847,0,1,1
61,0.0,0.0,0.0,0.9996485061511423,0,1,0
62,0.0,0.0,0.0,0.9996485061511423,0,1,0
63,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
64,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
65,0.0,0.0,0.0,0.998945518453427,0,1,2
66,1.0,1.0,1.0,1.0,1,0,0
67,0.0,0.0,0.0,1.0,0,0,0
68,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
